precision,recall,f1-score,support,accuracy
0.6587677725118484,0.29637526652452023,0.40882352941176464,1407.0,
0.5775862068965517,0.14285714285714285,0.22905982905982905,469.0,
0.7852779953014879,0.9535945226321796,0.8612900455209139,5258.0,
0.7706756377908607,0.7706756377908607,0.7706756377908607,0.7706756377908607,0.7706756377908607
0.673877324903296,0.46427564400461424,0.4997244679975026,7134.0,
0.746673098717953,0.7706756377908607,0.7304887615728033,7134.0,0.7706756377908607
